Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;VERDADEIRO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;Sala Aulas Mestrado;AA2.25;34;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;FALSO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;2E07;50;Sala/anfiteatro aulas, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;FALSO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Sala/anfiteatro aulas;C5.06;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
DF;Investimentos II;01074TP01;DFB1;3;FALSO;FALSO;Seg;17:30:00;19:00:00;28/11/2022;Sala/anfiteatro aulas;D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
DF;Investimentos II;01074TP01;DFB1;3;FALSO;FALSO;Seg;19:00:00;20:30:00;28/11/2022;Sala/anfiteatro aulas;D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;FALSO;FALSO;Qua;13:00:00;14:30:00;30/11/2022;Sala/anfiteatro aulas;C6.10;80;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;FALSO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Sala de Aulas normal;C6.10;80;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Arquitetura de Redes;03708T02;EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1;99;VERDADEIRO;FALSO;Seg;14:30:00;16:00:00;28/11/2022;Anfiteatro aulas;;0;
LFC;Reporte Financeiro;M8642TP01;FCC2;35;VERDADEIRO;FALSO;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LFC;Reporte Financeiro;M8642TP01;FCC2;35;VERDADEIRO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
